UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,MTurkCode
User Language,"Movie: Get Out
  (2017)
Recommendation: Target
  (1985 film).","Movie: Inside Out
  (2015)
Recommendation: It's
  Always Fair Weather.","Movie: E.T. The
  Extra-Terrestrial (1982)
Recommendation: The Gazebo.","Movie: Casablanca
  (1942)
Recommendation: The
  Principal.","Movie: Singin' in
  the Rain (1952)
Recommendation:
  Summer Lovers.","Movie: The Big Sick
  (2017)Recommendation: The Face
  (1996 film).","Movie: Wonder Woman
  (2017)
Recommendation: A
  Teacher.","Movie: North by
  Northwest (1959)
Recommendation:
  Conspiracy (1939 film).","Movie: Gravity
  (2013)
Recommendation: Vanishing
  Point (1997).","Movie: Get Out
  (2017)
Recommendation: Target
  (1985 film).","Movie: Inside Out
  (2015)
Recommendation: Bus
  Riley's Back in Town.","Movie: E.T. The
  Extra-Terrestrial (1982)
Recommendation: The Second Arrival.","Movie: Casablanca
  (1942)
Recommendation: Bird on a
  Wire (film).","Movie: Singin' in
  the Rain (1952)
Recommendation:
  The City of Ember.","Movie: The Big Sick
  (2017)
Recommendation: Case 39.","Movie: Wonder Woman
  (2017)
Recommendation: The
  Barbarian (1933 film).","Movie: North by
  Northwest (1959)
Recommendation:
  Hands of Stone.","Movie: Gravity
  (2013)
Recommendation: Megiddo:
  The Omega Code 2.
7).","Movie: Get Out
  (2017)
Recommendation: The Door
  in the Floor.","Movie: Inside Out
  (2015)
Recommendation: Things
  You Can Tell Just by Looking at Her.","Movie: E.T. The
  Extra-Terrestrial (1982)
Recommendation: The Aviator (1985 film).","Movie: Casablanca
  (1942)
Recommendation: In the
  Blood (2014 film).","Movie: Singin' in
  the Rain (1952)
Recommendation:
  Casey's Shadow.","Movie: The Big Sick
  (2017)
Recommendation: The Eyes
  of Mystery.","Movie: Wonder Woman
  (2017)
Recommendation: The Story
  of Vernon and Irene Castle.","Movie: North by
  Northwest (1959)
Recommendation:
  Laddie (1940 film).","Movie: Gravity
  (2013)
Recommendation: Gun
  Crazy.","Movie: Get Out
  (2017)
Recommendation: Split
  (2016)","Movie: Inside Out
  (2015)
Recommendation: Finding
  Nemo","Movie: E.T. The
  Extra-Terrestrial (1982)
Recommendation: Hook (1991)","Movie: Casablanca
  (1942)
Recommendation: Rear
  Window (1954)","Movie: Singin' in the
  Rain (1952)
Recommendation: Some
  Like It Hot (1959)","Movie: The Godfather
  (1972)
Recommendation: The
  Godfather Part II.","Movie: The Big Sick
  (2017)
Recommendation: I, Tonya","Movie: Wonder Woman
  (2017)
Recommendation: Justice
  League","Movie: North by
  Northwest (1959)
Recommendation:
  Meet the Blacks (2016)","Movie: Gravity
  (2013)
Recommendation: Life of
  Pi (2012)",MTurkCode
"{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID40""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID66""}","{""ImportId"":""QID68""}","{""ImportId"":""QID70""}","{""ImportId"":""MTurkCode""}"
EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95677949
EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73300011
EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20237100
EN,Good,Good,Good,I don't know,Good,Good,Good,I don't know,Good,Good,I don't know,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,I don't know,Good,Good,Good,Good,I don't know,Good,Good,Good,Good,Good,Bad,I don't know,Bad,Good,Good,Good,28462563
EN,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Bad,I don't know,I don't know,Good,I don't know,I don't know,I don't know,I don't know,Good,Bad,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Good,Good,Good,Good,Good,I don't know,Good,I don't know,I don't know,75085657
EN,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Bad,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Bad,I don't know,I don't know,I don't know,Bad,I don't know,Bad,I don't know,I don't know,Good,Good,Good,Good,I don't know,Good,I don't know,Bad,93992321
EN,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Good,Good,26494981
EN,Good,I don't know,Good,Good,I don't know,Good,Good,Bad,Good,Bad,Good,Good,I don't know,Good,Bad,I don't know,Bad,Good,Good,I don't know,Good,Good,I don't know,I don't know,Bad,Good,Bad,Bad,Good,Bad,I don't know,Good,Good,Bad,Good,I don't know,Good,91067776
